"A00","Cholera"
"B38.2","Pulmonary coccidioidomycosis, unspecified"
"B38.3","Cutaneous coccidioidomycosis"
"B38.4","Coccidioidomycosis meningitis"
"B38.7","Disseminated coccidioidomycosis"
"B38.8","Other forms of coccidioidomycosis"
"B38.9","Coccidioidomycosis, unspecified"
"B39","Histoplasmosis"
"B39.0","Acute pulmonary histoplasmosis capsulati"
"B39.1","Chronic pulmonary histoplasmosis capsulati"
"B39.2","Pulmonary histoplasmosis capsulati, unspecified"
"B39.3","Disseminated histoplasmosis capsulati"
"B39.4","Histoplasmosis capsulati, unspecified"
"B39.5","Histoplasmosis duboisii"
"B39.6","Histoplasma limphadenopathy (IM)"
"B39.9","Histoplasmosis, unspecified"
"B40","Blastomycosis"
"B40.0","Acute pulmonary blastomycosis"
"B40.1","Chronic pulmonary blastomycosis"
"B40.2","Pulmonary blastomycosis, unspecified"
"B40.3","Cutaneous blastomycosis"
"B40.7","Disseminated blastomycosis"
"B40.8","Other forms of blastomycosis"
"B40.9","Blastomycosis, unspecified"
"B41","Paracoccidioidomycosis"
"B41.0","Pulmonary paracoccidioidomycosis"
"B41.7","Disseminated paracoccidioidomycosis"
"B41.8","Other forms of paracoccidioidomycosis"
"B41.9","Paracoccidioidomycosis, unspecified"
"B42","Sporotrichosis"
"B42.0","Pulmonary sporotrichosis"
"B42.1","Lymphocutaneous sporotrichosis"
"B42.7","Disseminated sporotrichosis"
"B42.8","Other forms of sporotrichosis"
"B42.9","Sporotrichosis, unspecified"
"B43","Chromomycosis and phaeomycotic abscess"
"B43.0","Cutaneous chromomycosis"
"B43.1","Phaeomycotic brain abscess"
"B43.2","Subcutaneous phaeomycotic abscess and cyst"
"B43.8","Other forms of chromomycosis"
"B43.9","Chromomycosis, unspecified"
"B44","Aspergillosis"
"B44.0","Invasive pulmonary aspergillosis"
"B44.1","Other pulmonary aspergillosis"
"B44.2","Tonsillar aspergillosis"
"B44.7","Disseminated aspergillosis"
"B44.8","Other forms of aspergillosis"
"B44.81","Allergic Broncho Pulmonary Aspergillosis (ABPA) (IM)"
"B44.9","Aspergillosis, unspecified"
"B45","Cryptococcosis"
"B45.0","Pulmonary cryptococcosis"
"B45.1","Cerebral cryptococcosis"
"B45.2","Cutaneous cryptococcosis"
"B45.3","Osseous cryptococcosis"
"B45.7","Disseminated cryptococcosis"
"B45.8","Other forms of cryptococcosis"
"B45.9","Cryptococcosis, unspecified"
"B46","Zygomycosis"
"B46.0","Pulmonary mucormycosis"
"B46.1","Rhinocerebral mucormycosis"
"B46.2","Gastrointestinal mucormycosis"
"B46.3","Cutaneous mucormycosis"
"B46.4","Disseminated mucormycosis"
"B46.5","Mucormycosis, unspecified"
"B46.8","Other zygomycoses"
"B46.9","Zygomycosis, unspecified"
"B47","Mycetoma"
"B47.0","Eumycetoma"
"B47.1","Actinomycetoma"
"B47.9","Mycetoma, unspecified"
"B47.90","Demodis skin"
"B47.91","Demodis ocular"
"B48","Other mycoses, not elsewhere classified"
"B48.0","Lobomycosis"
"B48.1","Rhinosporidiosis"
"B48.2","Allescheriasis"
"B48.3","Geotrichosis"
"B48.4","Penicillosis"
"B48.7","Opportunistic mycoses"
"B48.8","Other specified mycoses"
"B49","Unspecified mycosis"
"B50","Plasmodium falciparum malaria"
"B50.0","Plasmodium falciparum malaria with cerebral complications"
"B50.8","Other severe and complicated plasmodium falciparum malaria"
"B50.9","Plasmodium falciparum malaria, unspecified"
"B51","Plasmodium vivax malaria"
"B51.0","Plasmodium vivax malaria with rupture of spleen"
"B51.8","Plasmodium vivax malaria with other complications"
"B51.9","Plasmodium vivax malaria without complication"
"B52","Plasmodium malariae malaria"
"B52.0","Plasmodium malariae malaria with nephropathy"
"B52.8","Plasmodium malariae malaria with other complications"
"B52.9","Plasmodium malariae malaria without complication"
"B53","Other parasitologically confirmed malaria"
"B53.0","Plasmodium ovale malaria"
"B53.1","Malaria due to simian plasmodia"
"B53.8","Other parasitologically confirmed malaria nec"
"B54","Unspecified malaria"
"B55","Leishmaniasis"
"B55.0","Visceral leishmaniasis"
"B55.1","Cutaneous leishmaniasis"
"B55.2","Mucocutaneous leishmaniasis"
"B55.9","Leishmaniasis, unspecified"
"B56","African trypanosomiasis"
"B56.0","Gambiense trypanosomiasis"
"B56.1","Rhodesiense trypanosomiasis"
"B56.9","African trypanosomiasis, unspecified"
"B57","Chagas disease"
"B57.0","Acute chagas' disease with heart involvement"
"B57.1","Acute chagas' disease without heart involvement"
"B57.2","Chagas' disease (chronic) with heart involvement"
"B57.3","Chagas' disease (chronic) with digestive system involvement"
"B57.4","Chagas' disease (chronic) with nervous system involvement"
"B57.5","Chagas' disease (chronic) with other organ involvement"
"B58","Toxoplasmosis"
"B58.0","Toxoplasma oculopathy"
"B58.1","Toxoplasma hepatitis"
"B58.2","Toxoplasma meningoencephalitis"
"B58.3","Pulmonary toxoplasmosis"
"B58.8","Toxoplasmosis with other organ involvement"
"B58.9","Toxoplasmosis, unspecified"
"B59","Pneumocystosis"
"B60","Other protozoal diseases, not elsewhere classified"
"B60.0","Babesiosis"
"B60.1","Acanthamoebiasis"
"B60.2","Naegleriasis"
"B60.8","Other specified protozoal diseases"
"B64","Unspecified protozoal disease"
"B65","Schistosomiasis [bilharziasis]"
"B65.0","Schistosom due schis haematobium [urin schistosom]"
"B65.1","Schistosom due schis mansoni [intest schistosom]"
"B65.2","Schistosomiasis due to schistosoma japonicum"
"B65.3","Cercarial dermatitis"
"B65.8","Other schistosomiases"
"B65.9","Schistosomiasis, unspecified"
"B66","Other fluke infections"
"B66.0","Opisthorchiasis"
"B66.1","Clonorchiasis"
"B66.2","Dicrocoeliasis"
"B66.3","Fascioliasis"
"B66.4","Paragonimiasis"
"B66.5","Fasciolopsiasis"
"B66.8","Other specified fluke infections"
"B66.9","Fluke infection, unspecified"
"B67","Echinococcosis"
"B67.0","Echinococcus granulosus infection of liver"
"B67.1","Echinococcus granulosus infection of lung"
"B67.2","Echinococcus granulosus infection of bone"
"B67.3","Echinococcus granulosus infection, other and multiple sites"
"B67.4","Echinococcus granulosus infection, unspecified"
"B67.5","Echinococcus multilocularis infection of liver"
"B67.6","Echinococcus multilocularis infection oth / multiple sites"
"B67.7","Echinococcus multilocularis infection, unspecified"
"B67.8","Echinococcosis, unspecified, of liver"
"B67.9","Echinococcosis, other and unspecified"
"B68","Taeniasis"
"B68.0","Taenia solium taeniasis"
"B68.1","Taenia saginata taeniasis"
"B68.9","Taeniasis, unspecified"
"B69","Cysticercosis"
"B69.0","Cysticercosis of central nervous system"
"B69.1","Cysticercosis of eye"
"B69.2","Cysticercosis of skin (IM)"
"B69.8","Cysticercosis of other sites"
"B69.9","Cysticercosis, unspecified"
"B70","Diphyllobothriasis and sparganosis"
"B70.0","Diphyllobothriasis"
"B70.1","Sparganosis"
"B71","Other cestode infections"
"B71.0","Hymenolepiasis"
"B71.1","Dipylidiasis"
"B71.8","Other specified cestode infections"
"B71.9","Cestode infection, unspecified"
"B72","Dracunculiasis"
"B73","Onchocerciasis"
"B74","Filariasis"
"B74.0","Filariasis due to wuchereria bancrofti"
"B74.1","Filariasis due to brugia malayi"
"B74.2","Filariasis due to brugia timori"
"B74.3","Loiasis"
"B74.4","Mansonelliasis"
"B74.8","Other filariases"
"B74.80","Filaria limphadenopathy (IM)"
"B74.9","Filariasis, unspecified"
"B75","Trichinellosis"
"B76","Hookworm diseases"
"B76.0","Ancylostomiasis"
"B76.1","Necatoriasis"
"B76.8","Other hookworm diseases"
"B76.9","Hookworm disease, unspecified"
"B77","Ascariasis"
"B77.0","Ascariasis with intestinal complications"
"B77.8","Ascariasis with other complications"
"B77.9","Ascariasis, unspecified"
"B78","Strongyloidiasis"
"B78.0","Intestinal strongyloidiasis"
"B78.1","Cutaneous strongyloidiasis"
"B78.7","Disseminated strongyloidiasis"
"B78.8","Other strongyloidiasis (IM)"
"B78.9","Strongyloidiasis, unspecified"
"B79","Trichuriasis"
"B80","Enterobiasis"
"B81","Other intestinal helminthiases, not elsewhere classified"
"B81.0","Anisakiasis"
"B81.1","Intestinal capillariasis"
"B81.2","Trichostrongyliasis"
"B81.3","Intestinal angiostrongyliasis"
"B81.4","Mixed intestinal helminthiases"
"B81.8","Other specified intestinal helminthiases"
"B82","Unspecified intestinal parasitism"
"B82.0","Intestinal helminthiasis, unspecified"
"B82.9","Intestinal parasitism, unspecified"
"B83","Other helminthiases"
"B83.0","Visceral larva migrans"
"B83.1","Gnathostomiasis"
"B83.10","Gnathostomiasis of central nervous system (IM)"
"B83.11","Gnathostomiasis of eye (IM)"
"B83.12","Gnathostomiasis of skin (IM)"
"B83.18","Gnathostomiasis of other sites (IM)"
"B83.19","Gnathostomiasis, unspecified (IM)"
"B83.2","Angiostrongyliasis due to parastrongylus cantonensis"
"B83.3","Syngamiasis"
"B83.4","Internal hirudiniasis"
"B83.8","Other specified helminthiases"
"B83.9","Helminthiasis, unspecified"
"B85","Pediculosis and phthiriasis"
"B85.0","Pediculosis due to pediculus humanus capitis"
"B85.1","Pediculosis due to pediculus humanus corporis"
"B85.2","Pediculosis, unspecified"
"B85.3","Phthiriasis"
"B85.4","Mixed pediculosis and phthiriasis"
"B86","Scabies"
"B86.0","Scabies due to Sarcoptes scabiei (IM)"
"B86.8","Other scabies / norwegian scabies (IM)"
"B86.9","Scabies, unspecified (IM)"
"B87","Myiasis"
"B87.0","Cutaneous myiasis"
"B87.1","Wound myiasis"
"B87.2","Ocular myiasis"
"B87.3","Nasopharyngeal myiasis"
"B87.4","Aural myiasis"
"B87.8","Myiasis of other sites"
"B87.9","Myiasis, unspecified"
"B88","Other infestations"
"B88.0","Other acariasis"
"B88.1","Tungiasis [sandflea infestation]"
"B88.2","Other arthropod infestations"
"B88.3","External hirudiniasis"
"B88.8","Other specified infestations"
"B88.9","Infestation, unspecified"
"B89","Unspecified parasitic disease"
"B90","Sequelae of tuberculosis"
"B90.0","Sequelae of central nervous system tuberculosis"
"B90.1","Sequelae of genitourinary tuberculosis"
"B90.2","Sequelae of tuberculosis of bones and joints"
"B90.8","Sequelae of tuberculosis of other organs"
"B90.9","Sequelae of respiratory and unspecified tuberculosis"
"B91","Sequelae of poliomyelitis"
"B92","Sequelae of leprosy"
"B94","Sequelae of other and unspecified infectious and parasitic diseases"
"B94.0","Sequelae of trachoma"
"B94.1","Sequelae of viral encephalitis"
"B94.2","Sequelae of viral hepatitis"
"B94.8","Sequelae of other specified infectious and parasitic diseases"
"B94.9","Sequelae of unspecified infectious or parasitic disease"
"B95","Streptococcus and staphylococcus as the cause of diseases classified to other chapters"
"B95.0","Streptococcus group A as cause of diseases classified to other chapters"
"B95.1","Streptococcus group B as cause of diseases classified to other chapters"
"B95.2","Streptococcus group D as cause of diseases classified to other chapters"
"B95.3","Streptococcus pneumoniae as cause of diseases classified other chapters"
"B95.4","Other streptococcus as cause of diseases classified to other chapters"
"B95.5","Unspecified streptococcus as cause of diseases classified to other chapters"
"B95.6","Staphylococcus aureus as cause of disease classified to other chapters"
"B95.7","Other staphylococcus as cause of diseases classified to other chapters"
"B95.8","Unspecified staphylococcus as cause of diseases classified to other chapters"
"B96","Other specified bacterial agents as the cause of diseases classified to other chapters"
"B96.0","Mycoplasma pneumoniae as cause diseases classified to other chapters"
"B96.1","Klebsiella pneumoniae as cause diseases classified to other chapters"
"B96.2","Escherichia coli as cause diseases classified to other chapters"
"B96.3","Haemophilus influenzae as cause diseases classified to other chapters"
"B96.4","Proteus (mirabilis)(morganii) as cause diseases classified to other chapters"
"B96.5","P.(aerugin)(mallei)(pseudomallei)as cause diseases classified to other chapters"
"B96.6","Bacillus fragilis as cause diseases classified to other chapters"
"B96.7","Clostridium perfringens as cause diseases classified to other chapters"
"B96.8","Other spec bact agents as cause diseases classified to other chapters"
"B97","Viral agents as the cause of diseases classified to other chapters"
"B97.0","Adenovirus as the cause of diseases classified to other chapters"
"B97.1","Enterovirus as the cause of diseases classified to other chapters"
"B97.2","Coronavirus as the cause of diseases classified to other chapters"
"B97.3","Retrovirus as the cause of diseases classified to other chapters"
"B97.4","Resp syncytial virusas the cause of diseases classified to other chapters"
"B97.5","Reovirus as the cause of diseases classified to other chapters"
"B97.6","Parvovirus as the cause of diseases classified to other chapters"
"B97.7","Papillomavirus as the cause of diseases classified to other chapters"
"B97.8","Oth viral agents as the cause of diseases classified to other chapters"
"B98","Other specified infectious agents as the cause of diseases classified to other chapters"
"B98.0","Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters"
"B98.1","Vibrio vulnificus as the cause of diseases classified to other chapters"
"B99","Other and unspecified infectious diseases"
"C00","Malignant neoplasm of lip"
"C00.0","Malignant neoplasm, external upper lip"
"C00.1","Malignant neoplasm, external lower lip"
"C00.2","Malignant neoplasm, external lip, unspecified"
"C00.3","Malignant neoplasm, upper lip, inner aspect"
"C00.4","Malignant neoplasm, lower lip, inner aspect"
"C00.5","Malignant neoplasm, lip, unspecified, inner aspect"
"C00.6","Malignant neoplasm, commissure of lip"
"C00.8","Malignant neoplasm, overlapping lesion of lip"
"C00.9","Malignant neoplasm, lip, unspecified"
"C01","Malignant neoplasm of base of tongue"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C02.0","Malignant neoplasm, dorsal surface of tongue"
"C02.1","Malignant neoplasm, border of tongue"
"C02.10","Malignant neoplasm of tip of tongue (IM)"
"C02.11","Malignant neoplasm of lateral border of tongue (IM)"
"C02.19","Malignant neoplasm of border of tongue, unspecified (IM)"
"C02.2","Malignant neoplasm, ventral surface of tongue"
"C02.3","Malignant neoplasm, anterior two-thirds of tongue, part unspecified"
"C02.4","Malignant neoplasm, lingual tonsil"
"C02.8","Malignant neoplasm, overlapping lesion of tongue"
"C02.9","Malignant neoplasm, tongue, unspecified"
"C03","Malignant neoplasm of gum"
"C03.0","Malignant neoplasm, upper gum"
"C03.1","Malignant neoplasm, lower gum"
"C03.9","Malignant neoplasm, gum, unspecified"
"C04","Malignant neoplasm of floor of mouth"
"C04.0","Malignant neoplasm, anterior floor of mouth"
"C04.1","Malignant neoplasm, lateral floor of mouth"
"C04.8","Malignant neoplasm, overlapping lesion of floor of mouth"
"C04.9","Malignant neoplasm, floor of mouth, unspecified"
"C05","Malignant neoplasm of palate"
"C05.0","Malignant neoplasm, hard palate"
"C05.1","Malignant neoplasm, soft palate"
"C05.2","Malignant neoplasm, uvula"
"C05.8","Malignant neoplasm, overlapping lesion of palate"
"C05.9","Malignant neoplasm, palate, unspecified"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C06.0","Malignant neoplasm, cheek mucosa"
"C06.1","Malignant neoplasm, vestibule of mouth"
"C06.10","Malignant neoplasm of vestibule mouth: upper labial sulcus (IM)"
"C06.11","Malignant neoplasm of vestibule mouth: upper buccal sulcus (IM)"
"C06.12","Malignant neoplasm of vestibule mouth: lower labial sulcus (IM)"
"C06.13","Malignant neoplasm of vestibule mouth: lower buccal sulcus (IM)"
"C06.14","Malignant neoplasm of vestibule mouth: upper sulcus, unspecified (IM)"
"C06.15","Malignant neoplasm of vestibule mouth: lower sulcus, unspecified (IM)"
"C06.19","Malignant neoplasm of vestibule mouth, unspecified (IM)"
"C06.2","Malignant neoplasm, retromolar area"
"C06.20","Malignant neoplasm of mouth: maxillary tuberosity (IM)"
"C06.21","Malignant neoplasm of mouth: mandibular retromolar area (IM)"
"C06.29","Malignant neoplasm of mouth: retromolar area, unspecified (IM)"
"C06.8","Malignant neoplasm, overlapping lesion of other and unspecified parts of mouth"
"C06.9","Malignant neoplasm, mouth, unspecified"
"C07","Malignant neoplasm of parotid gland"
"C08","Malignant neoplasm of other and unspecified major salivary glands"
"C08.0","Malignant neoplasm, submandibular gland"
"C08.1","Malignant neoplasm, sublingual gland"
"C08.8","Malignant neoplasm, overlapping lesion of major salivary glands"
"C08.9","Malignant neoplasm, major salivary gland, unspecified"
